id,generated_on,line_id,line_id_stateless,trip_code,station_id,station_name,station_platform,station_coords,planned_arr_time,planned_dep_time,arr_delay,dep_delay
9fc129a8-2499-495e-aa7e-ea6ce3d5709c,2023-10-03T01:30:14.103357000,12M12,eva:12M12: :R:j23,13,20009712,Essen Rheinischer Platz,1,"780701.00000,5296591.00000",2023-10-03T02:16:00.000000000,2023-10-03T02:16:00.000000000,0,0
9fc129a8-2499-495e-aa7e-ea6ce3d5709c,2023-10-03T01:30:14.103357000,12M12,eva:12M12: :R:j23,13,20009619,Essen Viehofer Platz,1,"780874.00000,5296821.00000",2023-10-03T02:17:00.000000000,2023-10-03T02:17:00.000000000,0,0
9fc129a8-2499-495e-aa7e-ea6ce3d5709c,2023-10-03T01:30:14.103357000,12M12,eva:12M12: :R:j23,13,20009492,Essen Rathaus Essen,8,"780916.00000,5297415.00000",2023-10-03T02:18:00.000000000,2023-10-03T02:18:00.000000000,0,0
9fc129a8-2499-495e-aa7e-ea6ce3d5709c,2023-10-03T01:30:14.103357000,12M12,eva:12M12: :R:j23,13,20009260,Essen Goldschmidtstr.,3,"781709.00000,5297408.00000",2023-10-03T02:20:00.000000000,2023-10-03T02:20:00.000000000,0,0
9fc129a8-2499-495e-aa7e-ea6ce3d5709c,2023-10-03T01:30:14.103357000,12M12,eva:12M12: :R:j23,13,20009623,Essen Hollestr.,3,"781536.00000,5297990.00000",2023-10-03T02:22:00.000000000,2023-10-03T02:22:00.000000000,0,0
b83365d7-c87d-4d7d-8cac-474ba5344f19,2023-10-03T01:30:14.103832000,12M12,eva:12M12: :R:j23,20,20009431,Essen Leimgardtsfeld,4,"774439.00000,5293765.00000",2023-10-03T00:01:00.000000000,2023-10-03T00:01:00.000000000,18,18
b83365d7-c87d-4d7d-8cac-474ba5344f19,2023-10-03T01:30:14.103832000,12M12,eva:12M12: :R:j23,20,20009676,Essen An Don Bosco,1,"775108.00000,5294111.00000",2023-10-03T00:02:00.000000000,2023-10-03T00:02:00.000000000,17,17
b83365d7-c87d-4d7d-8cac-474ba5344f19,2023-10-03T01:30:14.103832000,12M12,eva:12M12: :R:j23,20,20009675,Essen Altenberg,1,"775796.00000,5293787.00000",2023-10-03T00:03:00.000000000,2023-10-03T00:03:00.000000000,16,16
b83365d7-c87d-4d7d-8cac-474ba5344f19,2023-10-03T01:30:14.103832000,12M12,eva:12M12: :R:j23,20,20009667,Essen Zinkstr.,1,"776278.00000,5293504.00000",2023-10-03T00:04:00.000000000,2023-10-03T00:04:00.000000000,15,15
b83365d7-c87d-4d7d-8cac-474ba5344f19,2023-10-03T01:30:14.103832000,12M12,eva:12M12: :R:j23,20,20009150,Essen Bergeborbeck Bf,2,"776685.00000,5293626.00000",2023-10-03T00:05:00.000000000,2023-10-03T00:05:00.000000000,14,14
b83365d7-c87d-4d7d-8cac-474ba5344f19,2023-10-03T01:30:14.103832000,12M12,eva:12M12: :R:j23,20,20009162,Essen Bocholder Str.,2,"776848.00000,5294057.00000",2023-10-03T00:06:00.000000000,2023-10-03T00:06:00.000000000,13,13
b83365d7-c87d-4d7d-8cac-474ba5344f19,2023-10-03T01:30:14.103832000,12M12,eva:12M12: :R:j23,20,20009152,Essen Bergmühle,2,"776717.00000,5294656.00000",2023-10-03T00:07:00.000000000,2023-10-03T00:07:00.000000000,12,12
